id,vi,cn
251,"Bức thư viết cho chính mình số 251 Độc thân cũng tốt, yêu đương cũng được. Tất cả chỉ là một giai đoạn nào đó trong cuộc đời bạn. Không phải hâm mộ những người xung quanh thì cũng đừng bất mãn với hiện tại. Cho dù có ai đó bên cạnh hay không, phía trước có lời hứa cùng phấn đấu vì một mục tiêu nào đó hay không, mọi cung bậc cảm xúc trong cuộc sống đều cần chính bản thân trải nghiệm qua và đúc kết. Sống đúng thì mỗi giai đoạn đều sẽ trở thành một bản ngã tốt hơn của chính bạn. Trưởng thành không chỉ đơn giản là để thoát khỏi cảnh độc thân mà là khiến viết cho chính mình có thế trải nghiệm tất Á-",写给自己的第251封信 单身也好， 没必要羡慕旁人， 都只是人生中的某个阶段。 恋爱也罢， 无论身边是否有人陪伴， 前方是否有承诺一起努力的 也别对现状抱不满。 正确地活着， 生活中的喜怒哀乐都需要自己去经历并沉淀的。 每个 目标， 阶段都会成就更好的自己。 而是让自己有力量 成长不是单纯地为了脱单， 去体验任何可能。
252,"Bức thư viết cho chính mình số 252 Làm việc khi tính táo, đọc sách khi mơ hồ, ngủ khi tức giận và suy nghĩ khi ở một mình. Hãy làm một người hạnh phúc, đọc sách, du lịch, nỗ lực làm việc, quan tâm đến cơ thể và tâm lí, đồng thời trở thành người tốt nhất so với chính mình.",写给自己的第252封信 清醒时做事， 独处时思考；1 大怒时睡觉， 做一个幸福的 糊涂时读书， 成为最好的自己。 关心身体和心情， 努力工作， 读书， 旅行，
253,Bức thư viết cho chính mình số 253 Con người có ba lần đánh dấu sự trưởng thành: Lần đầu là khi phát hiện rằng bản thân chẳng phải “trung tâm của vũ trụ”. Lần thứ hai là khi bạn biết rằng cho dù bạn nỗ lực thế nào cuối cùng vẫn có những việc mình không thể làm được gì cả. Lần thứ ba là khi bạn hiểu rõ quá là có những việc bạn không thể thay đổi nhưng vẫn cố hết sức.,写给自己的第253封信 第二次是 第一次是在发现自己不是世界中心的时候。 人会长大三次。 第三次是 终究还是有些事令人无能为力的时候。 在发现即使再怎么努力， 但还是会尽力争取的时候。 在明知道有些事可能会无能为力，  心
254,"Bức thư viết cho chính mình số 254 Khi khóc không có ai dỗ dành tôi học được thế nào là kiên cường. Khi sợ hãi không ai bên cạnh tôi học được thế nài để dũng cảm. Khi buồn phiền không ai hỏi đến tôi học được cách chấp nhận. Khi mệt mỏi không có ai dựa dẫm, tôi học được cách tự lập... Chính từ đó tôi đã tìm thấy chính mình, thì ra tôi thật tài giỏi. Đáng quý hơn là: Trên đời này, tôi chỉ có một mình và cũng chỉ có một “tôi” mà thôi!",写给自己的第254封信 我学会了勇敢； 我学会了坚强; 怕的时候没人陪， 哭的时候没人哄， 我学会了自 累的时候没人可以依靠，4 我学会了承受； 烦的时候没人问， 原来我很优秀， 我 我找到了自己，+ 更可贵的是， 世界上， 立……就这样， 只有一个我！ 只有一个，
255,Bức thư viết cho chính mình số 255 Không có một người đàn ông nà có thể chơi bời không làm gì mà có thể khiến đừng lãng phí thời gian để giải thích. Không chấp nhận được thiệt thòi sẽ không có sự trưởng thành vĩ đại đâu.,写给自己的第255封信 可以游手好闲而赢得女人的欣赏。 更沒有任何一 没有任何一个男人， 而得到一个男人的尊重。 个女人能够好吃懒做， 别 还是埋头干吧， 所以， 没有委屈就没有成长。 把时间浪费在解释上，
256,"Bức thư viết cho chính mình số 256 Bạn càng kiếm soát tốt cảm xúc bao nhiêu thì bạn càng trường thành hơn bấy nhiêu. Nóng giận sẽ xua đuối mất những sự may mắn. Vì thế mà bạn sẽ thấy có những người khoan dung điềm tĩnh. Chẳng qua vì họ biết cách nhẫn nhịn mà thôi. Trước khi bạn trở thành người mà bạn mong muốn, hãy làm tốt hai việc này: SỐNG TỐT và BIẾT NHẪN NHỊN.",写给自己的第256封信 你能多快搞定自己的情绪， 就能多快得到成长。脾气会赶走运气。- 所 不过就是能忍。在成为你想要成为的人之前， 那些貌似心大的人， 做 忍着。 活着， 好两件事：
257,"Bức thư viết cho chính mình số 257 Bạn có thể khóc, có thế đau lòng nhưng xin đừng tuyệt vọng. Giọt nước mắt hôm nay sẽ là sự trưởng thành của ngày mai. Vết thương hôm nay sẽ là sự kiên cường trong tương lai. ũ",写给自己的第257封信 你可以哭泣， 会是你明天的成 可以心疼， 但不能绝望。今天的泪水， 今天的伤痕，会是你明天的坚强。
258,Bức thư viết cho chính mình số 258 Trên thế giới này vốn dĩ chẳng hề tồn tại chuyện “không thế làm được”. Đến lúc bạn mất đi tất cả điểm tựa thì tự nhiên bạn sẽ biết thôi.,写给自己的第258封信 当你失去了所有的依靠 这回事， 这个世界上根本就不存在 自然就什么都会了。 的时候，
259,Bức thư viết cho chính mình số 259 Cuộc sống luôn để ta trải qua thật nhiều nỗi đau nhưng đến cuối cùng thì những vết sẹo còn lại sẽ trở thành điều khiến bạn trở nên mạnh mẽ kiên cường nhất. Ý,写给自己的第259封信 那些受伤的地方一定会变成我 生活总是让我们遍体鳞伤， 但到后来， 们最强壮的地方。
260,"Bức thư viết cho chính mình số 260 Con đường trưởng thành không hề có lối tắt. Nếu thực sự mỗi người đều là thiên nga thì sẽ chẳng ai chịu làm con chim sẻ núi bé nhỏ. Thomas Alva Edison từng nói: “Thiên tài có 1% là bẩm sinh còn 99% nhờ sự nỗ lực.” Điều này cũng chứng minh rằng trưởng thành không có con đường tắt nào cả. Muốn trưởng thành, muốn thành công, tất phải nỗ lực, chấp nhận trả giá và kiên định đến tận phút cuối cùng.",写给自己的第260封信 如果真的每个人都是鸿鹄的话， 那么便没有燕雀 成长路上无捷径， “天才是百分之一的天分加上百分之九十九的汗水。 爱迪生说： 这 就必须学会努力和付出以及 想成功， 想成长、 也证明了成长路上无捷径， 坚持。
261,"Bức thư viết cho chính mình số 261 Chín chắn, không phải bạn có thể dùng những đạo lí lớn lao để dạy đời người khác mà là bạn có thể thuyết phục mình chân thành tìm hiểu mọi người và mọi việc xây ra xung quanh mình.",写给自己的第261封信 而是你能说服自己去理解 不是你能用很多大道理去开导别人， 成熟， 身边的人和事。
262,"Bức thư viết cho chính mình số 262 Hãy kìm nén lại những uất ức và nước mắt bạn nhé. Không thua được thì đừng thua, không thể chết được thì hãy vực dậy, nói với tất cả những ai đang coi thường bạn: “Tôi rất ổn”. Ỷ",写给自己的第262封信 告诉所 把委屈和泪水都咽下去， 死不了就站起来， 输不起就不要输， 我很好。 有看不起你的人:
263,"Bức thư viết cho chính mình số 263 Có những lúc bạn chấp nhận từ bỏ không phải vì bất ngờ cảm thấy không còn luyến tiếc gì mà vì thời hạn đã đến. Buông thả đủ rồi, cũng trưởng thành hơn rồi, bạn cũng hiểu rằng đến lúc cần phải để mọi chuyện trở lại như trạng thái ban đầu.",写给自己的第263封信 而是因为期限到 不是因为突然就舍得了， 有时候你把什么放下了， 成熟多了， 也就知道这一页该翻过去了。 任性够了，
264,"Bức thư viết cho chính mình số 264 Không ai gánh chịu thay bạn. Cũng không ai có thể lấy đi sự kiên cường của bạn. Mỗi người đều là những lữ khách cô độc trên hành trình của mình. Trên đường đi, bạn mới dần trở nên kiên cường mạnh mẽ.",写给自己的第264封信 每个人都是孤独的行 也没有人拿得走你的坚强。 没有人能替你承受， 在行走的过程中慢慢变得坚强。
265,"Bức thư viết cho chính mình số 265 Gặp phải quá nhiều những sinh li tử biệt, dần dần bạn sẽ phát hiện rằng: Gia đình chính là những người hạrẵ không muốn xa cách nhiều nhất. Không cầu giàu sang, chỉ nguyện moýng Ề,ia đình không có biến cố khố đau, bình an mạnh khỏe là tốt tiền bạc, mà chính là đến từ gia đình.",写给自己的第265封信 不求多富 看过太多的生离死别， 慢慢发觉， 最离不开的还是家人。 只要家人都无痛无病无灾， 真正的幸 终究会明白， ，身体健康就很好。 而是来自于家庭。 并不来自于权力和金钱，
266,"Bức thư viết cho chính mình số 266 Có những áp lực bạn vẫn phải tự mình gánh lấy. Kế lế chỉ làm bạn có thêm những oán hận trong lòng mà thôi. Tìm kiếm sự an ủi cũng chỉ vô ích mà lại còn gây thêm phiền toái cho người khác. Song, khi bạn một mình tự vượt qua gian truân, nhất định bạn sẽ cảm kích con người trước kia của mình đã cắn rang chịu đựng nhẫn nhịn đến tận bây giờ.",写给自己的第266封信 寻求 说出来就成了充满负能量的抱怨。 有些压力总是得自己扛过去， 而当你独自走过艰难险阻， 还徒增了别人的烦恼。 安慰也无济于事， 一定 会感激当初一声不吭咬牙坚持着的自己。
267,"Bức thư viết cho chính mình số 267 Có một số lời nói phù hợp giấu trong lòng hơn. Có một vài nỗi đau tự nhiên quên đi sẽ tốt hơn. Khi đã trải nghiệm qua, bạn đã trưởng thành hơn, chỉ cần bản thân biết là đủ rồi. Có những sự thay đối không cần tự mình phải nói thành lời bạn nhé.",写给自己的第267封信 适合无声无息地忘记。 当经历 有些痛苦， 适合藏在心里，- 有些话， 自己知道就好。很多改变， 不需要自己说。 你成长了，
268,"Bức thư viết cho chính mình số 268 Người phụ nữ trong trạng thái tốt nhất là khi hiếu thế nào là tôn trọng, không lắm chuyện, Ủng không khoe ủoang bản thân và không thế hiện tình cảm yêu đương cá nhân quá nhiều. Phụ nữ càng chín chắn càng biết phải giấu mình đi như nào. Thế giới này không phải chỉ có mình bạn tồn tại. Người phụ nữ cần biết cách trầm lặng và không nói xấu người khác. Là chính mình là tốt lắm rồi. Không cầu đậm sâu, chỉ mong đơn giản. Bạn càng trở nên tài giỏi thì những gì quanh bạn cũng dần trở nên tốt hơn.",写给自己的第268封信 也不晒自己的优越， 不管他人闲事， 做女人最好状态是懂得尊重， 更 这世界并非你一人存在。做女人 女人越成长越懂得内敛自持。 不秀恩爱。: 你变得优秀， 你 只求简单。 不求深刻， 不说人坏话做好自己即可。 静默、 身边的环境也会优化。
269,"Bức thư viết cho chính mình số 269 Sẽ có một ngày bạn nhìn lại những người đã gặp hay những việc đã trải qua: Trước đó những việc tưởng như to tát, so với bây giờ chẳng qua cũng chỉ đến vậy mà đời này chẳng có gì là không thể vượt qua được. Một điều thú vị là bạn cũng không thể không công nhận rằng: Chính nhờ những gì bạn đã trải qua lúc đó mới khiến bạn trở thành con người kiên cường của hiện tại.",写给自己的第269封信 当时再大的事， 你会回头看看那些经历过的人和事: 总有一天， 现 根 你甚至会觉得自己当时太小题大做、 太幼稚， 在看来好像也不过如此。 也根本没有什么人是离不了的。 可你也不得不承 本没有什么是过不去的， 认，就是因为发生过的这些， 才让你变成了现在这个样子。
270,"Bức thư viết cho chính mình số 270 việc mình thích đế phân tán sự chú ý một chút như đi dạo phố, xem phim hay nhanh chóng ngủ một giấc, thế nào cũng được. Khi bạn gặp chuyện buồn đừng cầu xin sự giúp đỡ từ khắp nơi, mà cần định thần lại tiếp tục cuộc sống của mình. Đó mới là sự trưởng thành thực sự. Mặc ai kia nói gì, bạn vẫn còn “chính bản thân mình”",写给自己的第270封信 不如做点喜欢的事分散一下注 与其叽叽喳喳说个不停， 遇见挫折时， 怎么都好。 或者干脆倒头睡一觉， 意力， 当你 看场好电影， 出门逛个街， 而是气定神闲地继续自己的生活， 才是真的 遇见问题不再慌张四处求救， 我有自己。 管你风雨， 长大了。
271,"Bức thư viết cho chính mình số 271 Không ai có trách nhiệm phải tạo niềm vui cho bạn. Không mất quá nhiều thời gian bạn sẽ biết được rằng: Niềm vui phải do tự mình tìm kiếm. Hãy đặt tỉnh thần ở nơi khác, qua một thời gian bạn cũng sẽ quen với cuộc sống mới thôi. Bạn thử nghĩ xem: Thế giới không thể mãi như thế không đối thay được. Bạn cũng đâu phải trung tâm của vũ trụ, sớm muộn cũng phải lớn lên thôi. Cuộc sống đầy những thất vọng, không cần phải kế lế khổ đau. Nếu chúng là một phần trong cuộc sống của bạn thì bạn phải coi như không có chuyện gì mà chấp nhận hiện thực đó nhé.",写给自己的第271封信 不久你便会知道， 快乐得你自己寻找。把 没有人会对你的快乐负责， 精神寄托在别的地方， 世界不可能一成 你想想， 过一阵你会习惯新生活。4 你迟早会长大。 太阳不可能绕着你运行， 生活中充满失望。 不变， 不用诉 你必须若无其事地接受现实。 苦发牢骚， 如果这是你生活的一部分，
272,"Bức thư viết cho chính mình số 272 Nếu như bạn cảm thấy hiện tại bản thân quá vất vả, bạn hãy nói với mình rằng: “Con đường dễ dàng chỉ có đi xuống dốc mà thôi!”. Cứ kiên trì vì bạn đang lên dốc, chỉ cần vượt qua nhất định sẽ nhìn thấy sự tiến bộ. huàtrén bĩ nỉ duoõ.",写给自己的第272封信 那告诉自己：容易走的都是下坡路！ 感到此时的自己很辛苦， 如果， 走过去，你就一定会有进步。 因为你正在走上坡路， 坚持住，
273,Bức thư viết cho chính mình số 273 Không cần hâm mộ người khác chín chắn hơn bạn. Họ chín chắn hơn đơn giản vì từ trước đến nay họ gặp nhiều người xấu và ác ý hơn bạn mà thôi.,写给自己的第273封信 不要羡慕别人比你成熟。 那是因为， 一路走来， 他们遇见的坏人比 你多。
274,Bức thư viết cho chính mình số 274 Gió có thể thổi bay một tờ giấy lớn nhưng lại không thể thối bay một chú bướm nhỏ. Đơn giản vì sức sống tồn tại ở sự không phục tùng.,写给自己的第274封信 因为生命的力量在于 却无法吹走一只蝴蝶， 风可以吹起一大张白纸， 不顺从。
275,Bức thư viết cho chính mình số 275 Những lời người khác nói với bạn trong lúc vô ý hay những lời thô tục khi tức giận hoặc say rượu thực ra đều là những lời đáng để bạn suy ngẫm.,写给自己的第275封信 还有那些气急败坏时说出的话、 醉酒后 别人对你不经意间说出的话， 都是值得你用心去听去反省的话。 说出的话、 背后说起的话，
276,"Bức thư viết cho chính mình số 276 Thời gian không nhất định chứng minh được nhiều thứ nhưng nhất định sẽ khiến con người nhìn thấy nhiều điều. Rồi bạn sẽ giống tôi, càng lúc càng cảm thấy sự trưởng thành.",写给自己的第276封信 但一定会让人看透许多东西。 不一定能证明许多东西， ，越来越 时间， 不给别人添麻烦是成长重要的一步。 照顾好自己， 觉得，
277,"Bức thư viết cho chính mình số 277 Gặp chuyện không thể lí giải, bạn nhất định nên chấp nhận, giải quyết ổn thỏa hoặc tránh xa, không truy hỏi gì cả. Ba hành động này là điều quan trọng nhất cuộc sống đã dạy cho tôi. ẫ`9",写给自己的第277封信 遇到不可理喻的事情， 最后这三个字， 接受、 不追问。 远离， 处理、 是生活教会我的最重要的三个字
278,"Bức thư viết cho chính mình số 278 Trưởng thành là việc không vì xuất thân thấp kém mà trở nên hèn mọn, can tâm làm người thất bại. Hơn nữa, không phải vì lên được vị thế cao mà khoe khoang kiêu ngạo, tự xưng Nữ vương. Bạn nhất định nên sáng suốt khi tự tìm hiểu mọi điều, biết đâu là điểm mạnh và điểm yếu của mình, phát huy điểm mạnh và giảm thiếu điểm yếu, bình thản đối mặt khi mọi biến cố xảy ra.",写给自己的第278封信 成长是不因出身寒微而自轻自贱， 不因飞上枝头而炫耀浮 甘当屌丝； 泰 知道自己的长处和弱点， 是拥有自知之明， 自诩女王。 扬长避短， 然处之。
279,"Bức thư viết cho chính mình số 279 thích tỏ vẻ hơn người, đừng lắm chuyện khi chen chúc qua đám đông chỉ để xem con gián đã chết mấy ngày, đừng bao giờ chia sẻ hoài bão với người khôí1t<g bao giờ quan tâm đến bạn, không nhất thiết với ai với chuyện gì cũng phải đạt kết quả tốt nhất và đặc biệt là sau khi không thể trở thành người mình mong muốn cũng đừng suy sụp LẠ B - x x Xề bởi cảm thấy thua kém.",写给自己的第279封信 不要轻易地成为你不想成为的人， 什么是成长? 不跟在人后盲目疯 不会挤进人群看一只死了几天的 不试图和一个装腔作势的人讲道理， 不非得和某人某事达成 蟑螂， 不再动不动地跟一个不在乎你的人谈抱负，- 不能成了你不想成为的那种人后浑然不知。 和解，
280,Bức thư viết cho chính mình số 280 Nếu bạn muốn buông thả thì trước đó hãy học cách ủấphhận. Nếu bạn muốn độc lập thì phải học cách sống kiên cường trước. Nếu bạn muốn yêu một cách phóng thương tình yêu cũ mới có thể trọn vẹn dũng cảm đón nhận tình yêu mới. Bạn có thể làm tất cả mọi việc nhưng trước đó hãy xác định sẽ không đau buồn dù kết quả ra sao. Một người thực sự mạnh mẽ không phải qua việc nhìn thấy anh ta làm những gì mà phải xem anh ta có thể gánh vác được những gì.,写给自己的第280封信 如果你想 那就先学会承受， 如果你想任性，-！ 能承受后果才可以任性。 那就先学会遗-- 如果你想放肆地爱， 那就先学会坚强， 才可以独立。 独立， 只有能忘掉失恋痛楚， 你可以去做一切事情， 但前提 才可以大胆爱。 是不会为结果伤悲。 并非看他能做什么， 一个人真正的强大， 而是看他能 承担什么。
281,Bức thư viết cho chính mình số 281 Bạn cần hiểu rằng: Không phải mỗi lần vấp ngã đều có người đỡ bạn dậy. Con đường đi tới hạnh phúc thường chẳng hề dễ dàng gì. Một lòng muốn buông thả thì chÍ khiến chúng ta trở nên yếu mềm dễ bị tổn thương mà thôi.,写给自己的第281封信 通往美好之路並不 不是每一次跌倒都有人扶着你站起来， 你要懂得， 只会令我们脆弱得不堪一击。 一味地放任， 容易，
282,"Bức thư viết cho chính mình số 282 Dần dần mới biết rằng: Quá quan tâm đến người khác thường sẽ hại đến mình. Dần dần mới biết rằng: Có nhiều thứ chỉ để biết đến chứ không thể có được, có những thứ chỉ sở hữu một lần duy nhất. Dần dần mới biết rằng: Chân thành đối tốt với một người chưa chắc sẽ có báo đáp, còn người bạn không để ý tới có thể là người trân trọng bạn nhất. Dần dần mưới biết rằng: Hiện thực trở nên bất lực như vậy và bản thân đã trưởng thành rồi. youyš dào lão.",写给自己的第282封信 慢慢才知道，对自己好的 太在乎别人往往会伤害自己； 慢慢才知道， 慢慢才知道，很多东西是可遇而不可求的，很 人会随着时间流逝越来越少; 多东西只能拥有一次； 而你忽 真心对一个人好不一定有回报， 慢慢才知道， 自己长大了。 现实如此无奈; 慢慢才知道， 略的人往往可能最重视你;
283,"Bức thư viết cho chính mình số 283 Tất cả những lo lắng và oán hận đều từ sự đối xử không công bằng mà ra. Không muốn bị ảnh hưởng, ngay từ giờ hãy yêu bản thân mình trước. Chúng ta đối tốt với chính mình mới có thể vô tư bình thản và thanh thản đến già.",写给自己的第283封信 女人身上所有的焦虑和戾气， 都是亏待出来的。 不想被俗世浸透， 那 我们要对自己足够好， 才能一直优雅到老。 先爱上自己。 从现在开始，
284,"Bức thư viết cho chính mình số 284 Một phần lớn trong sự trưởng thành là chấp nhận: Chấp nhận một người một ngả, chấp nhận thế sự vô thường và chấp nhận điểm yếu của chính mình. Sau đó bắt đầu thay đối từ chính con người bên trong, đơn giản như việc khi trời tối thì bật đèn, lượng và dũng khí.",写给自己的第284封信 成长的很大一部分是接受， 接受世事无常， 接受分道扬镳， 接受孤 接受自己的缺点。 接受突如其来的无力感， 然后发自内心地去改 独挫折， 难过就哭， 落雨带把伞， 天黑开盏灯， 满血复活。 天亮以后，
285,"Bức thư viết cho chính mình số 285 Trước kia luôn lo lắng người khác không lo cho chính mình nên cố gắng tìm mọi cách để lấy lòng người khác. Nếu bị hiểu nhầm sẽ muốn lập tức giải thích, hòa giải. Bây giờ càng lớn càng vững vàng hơn, không thích thì không thích thôi. Trời rộng đường dài, mỗi người một ngả mà.",写给自己的第285封信 于是拼命迎合讨好， 以前总怕别人不喜欢自己， 要是被误会了就恨不 大路朝 现在越长大心越大， 能化解， 得马上能解释、 不喜欢就不喜欢呗， 天各走一边。
286,"Bức thư viết cho chính mình số 286 Khi còn nhỏ chúng ta cứ muốn nhanh chóng lớn lên. Sau khi lớn lên mới phát hiện khi còn nhỏ vẫn là vô tư nhất. Khi đi học chúng ta mong ước có thể được đi làm. Sau khi đi làm mới hiếu rằng thời còn đi học mới là khoáng kí ức đẹp đế huy hoàng nhất. Khi còn độc thân ta hâm mộ những người đi đâu cũng có đôi có cặp. Sau khi kết hôn mới biết rằng sự tự do độc thân cũng là một niềm hạnh phúc to lớn... Cuộc đời là con đường chỉ có thế tiến lên, những gẵ đã đi qua đều không thế quay lại. Vì thế, chỉ nên trân trọng những gì đang có ở hiện tại thì kí ức về cuộc sống mới bớt đi được những nuối tiếc và oán hận.",写给自己的第286封信 小时候我们拼命想长大，- 读书时我们 长大后才发现还是童年最无瑕；一 做梦都想工作，- 单身时羡慕别 还是寒窗时光最值得留恋; 工作后才明白， 十，结婚后才懂得单身的自由也是一种无比的幸福……我们是一走过了也就错过了，唯有珍惜即时的拥有，生命的记忆里才会 人出双入对， 生命的记忆里才会 唯有珍惜即时的拥有， 路向前走， 少一些悔与恨
287,"Bức thư viết cho chính mình số 287 Đời người là vậy: Sau khi trải nghiệm, bạn dần sẽ học được cách giấu đi những giọt nước mắt trước mặt mọi người, chỉ để họ thấy khuôn mặt tươi cười của bạn, học được cách giấu kín những Ủuỷện đau buồn ưonỆ lòng. Có những chuyện đau buồn. đã qua, bạn càng nên kiên cường đối mặt.",写给自己的第287封信 你就渐渐学会了背对着人群哭， 转过身微 人生就是这样，+ 百转千回后， 不动声色地尘封和隐藏， 学会了将心事， 有些过往， 要用坚强来支撑。
288,"Bức thư viết cho chính mình số 288 Trong cuộc đời mỗi người đều sẽ có những lúc cô độc. Cũng có những việc người khác không giúp được bạn cũng giống như con nhộng thoát kén tằm để thành bướm vậy. Bạn chí có thể tự dựa vào sức của chính mình mà thôi. Bạn buộc phải học cách chờ đợi trong sự cô độc, đợi chờ kén chín để chui ra. Trong khi đợi chờ xác định tương lai của mình, bạn hãy làm vững mạnh hơn niềm tin của mình, kiên định với ý chí ban đầu và hãy cổ vũ sức mạnh từ chính bên trong bạn.",写给自己的第288封信 也总有很多事情是别人帮不 每个人的一生中都会有一段孤独的时光， 你只能靠自己。 你必须在孤独中学会等待， 就像破茧成蝶的蛹， 了你的， 坚定自己的 丰满自己的羽翼， 在等待中定格自己的未来， 等待破茧而出， 强健自己的力量。 毅力，
289,"Bức thư viết cho chính mình số 289 Thực ra nếu bạn không biết thực sự mình muốn gì thì đó là điều rất bình thường thôi bởi bạn vẫn còn rất trẻ. Nếu ai ngay từ đầu đều biết rõ bản thân muốn gì phải làm như thế nào thì cuộc sống sẽ chẳng còn ý nghĩa gì nữa. Chỉ có luôn nỗ lực, trải qua mọi vui buồn, cuối cùng bạn mới có thể manh nha biết được bản thân thực sự muốn gì, manh nha biết đâu mới là ý nghĩa cuộc sống.",写给自己的第289封信 因为你还年轻。如果人一开始 其实你不知道自己想要什么是正常的， 便明确地知道自己想要什么， 你只有一 那生活便没有了意义。 要怎么做， 承受挫折和磨砺， 历经艰难和险阻， 才能最终 尝遍欢笑与泪水， 路跋涉， 这才是活着的意义。 找到自己真正想要什么，
290,"Bức thư viết cho chính mình số 290 | trong đó là một sinh mệnh. Đời người cũng như vậy, nếu nhìn từ ngoài chỉ thấy toàn họ. Còn nếu bạn tự mình bứt phá từ chính bên trong, bạn sẽ phát hiện mỗi sự trưởng thành kia giống như một lần được tái sinh vậy.",写给自己的第290封信 从内打破是生命。 ，从外打破是食物， 从外打破是压 人生亦是， 鸡蛋， 从内打破是成长。 那么你注定成为别人的 如果你等待别人从外打破你， 如果能让自己从内打破，那么你会发现自己的成长相当于一种重生。 食物；
291,"Bức thư viết cho chính mình số 291 Không ai luôn thuận lợi bước trên đường đời cả. Chỉ mong bạn càng ngày mạnh mẽ hơn, để rồi một ngày nào đó bạn có thể cười vang và kể lại những khoảng thời gian bạn đã từng phải rơi lệ ấy.",写给自己的第291封信 你可以笑着讲述那 没有人会一直顺利。 然后有一天， 愿你更加强大， 些曾让你哭的瞬间。
292,"Bức thư viết cho chính mình số 292 Đừng lo lắng bạn sẽ phải chịu khố. Chính vì những khổ đau đó trong cuộc sống mới thúc đẩy chúng ta vươn lên và giúp ý chí bạn thêm mạnh mẽ. Dưa chín mới được hái, nước đến mới dẫn được. Cũng như con bướm vậy, sự trưởng thành của con người phải trải qua đấu tranh đau khố cho đến khi đôi cánh cứng cáp mới có thế sải cánh bay cao. Bù H",写给自己的第292封信 才能激发我们向上的力 别担心自己会吃苦， 正是生活中的那些苦， 使我们的意志更加坚强。 和飞蛾一 水到才能渠成。 瓜熟才能蒂落， 直到双翅强壮后， 人的成长必须经历痛苦挣扎， 才能振翅高飞。
293,"Bức thư viết cho chính mình số 293 chuyện gì. Khi học cấp ba, bạn buồn sẽ có vài người bạn thân xoa đầu bạn, nói rằng bạn có họ, sẽ không có chuyện gì đâu. Đến khi đại học chẳng ai quan tâm bạn thế nào. Khi đi làm, mọi người sẽ chỉ cho rằng bạn thật biết diễn. Thực ra, trưởng thành chính là bạn phải kiên cường chống chọi mọi biến cố một mình và chỉ một mình mà thôi.",写给自己的第293封信 你难过， 你哭了，整个班级围过来问你怎么了。 初中， 高中， 几个死 告诉你还有他们， 党摸摸头， 没人管你怎样。 大学， 工作了， 没关系。 人 家只会觉得你演技很棒。 成长就是逼着你一个人去坚强。 其实，
294,"Bức thư viết cho chính mình số 294 Trưởng thành là khi bạn đi xa sẽ tự nhớ mang ô, ít khi đế mình bị ướt, là khi hạnh phúc của mình.",写给自己的第294封信 所谓的成熟， 是你出远门总会自己带伞， 伞，很少再把自己淋湿；是你学会善待自己，照顾 是你 很少再把自己感动哭； 照顾好自 能控制自己的眼泪， 而不是将生活侥幸地寄托于外在的一切。 你逐渐成为独立的个体，
295,"Bức thư viết cho chính mình số 295 Luôn có một số việc chúng ta không mong muốn nó xảy ra, nhưng lại vẫn buộc phải chấp nhận. Có một số thứ chúng ta không muốn biết nhưng vẫn buộc phải hiểu. Có một số người chúng ta không thế thiếu mất vẫn buộc phải học cách buông táy. Con người chỉ có thể tự thỏa mãn chính mình mà thôi và đó chính là hiện thực phũ phàng bạn phải chấp nhận.",写给自己的第295封信 我们不想 我们不愿它发生， 总有些东西， 却必须接受； 总有一些事， 我们不能没有， 却必须学着放手。 总有些人， 却必须了解； 知道， 人只能 自己去成全自己， 这是现实
296,"Bức thư viết cho chính mình số 296 Chuyện tuyệt vời nhất trên đời là mỗi ngày tỉnh dậy lại là một ngày mới. Chẳng cần đánh đối điều gì và mọi thứ vẫn tiếp tục vòng quay của nó. Mọi việc trên đời, chỉ cần bạn một lòng học hỏi thì chẳng có gì là quá muộn cả.",写给自己的第296封信 完全免费， 世界上最棒的事是， 每天早上醒来又是崭新的一天， 永不 世上的事， 只要肯用心去学， 没有一件是太晚的。 断货。
297,Bức thư viết cho chính mình số 297 Bạn cần học cách bịt tai lại đế không nghe những âm thanh hỗn tạp linh tinh kia. Trên đời chẳng có ai không từng đau khổ và sự thật phũ phàng là: Người có thể chữa lành cho bạn chỉ có thể là chính bạn mà thôi.,写给自己的第297封信 不去听那些熙熙攘攘的声音; 你要学会捂上自己的耳朵， 这个世界上 只有你自己。 真正能治愈自己的， 没有不苦逼的人，
298,Bức thư viết cho chính mình số 298 Cuộc sống quan trọng nhất là: Đừng có đứng núi này trông núi nọ mà hãy làm tốt những việc mình hiểu rõ ngay cạnh mình.,写给自己的第298封信 不要总去看模糊不清的远方，而是要把身旁清楚的 生活最重要的是， 事情做好。
299,"Bức thư viết cho chính mình số 299 Trên đời này chẳng có ai bị số phận bỏ rơi cả. Đời người là một chuyến tàu đơn độc. Những gì chúng ra nên làm chính là đối xử tốt với chính mình, trân trọng hôm nay, kì vọng vào ngày mai. Những gì đã qua, những gì đã bỏ lỡ đều không còn có thế quay lại. Những gì đã mất, những gì đã kết thúc không bao giờ có thể làm cho nó chưa từng xảy ra.",写给自己的第299封信 我们最应该做的， 世上从没有被命运抛弃的人， 人生是一趟单程车， 错过的，都不再 珍惜今天，期待明天。 就是好好善待自己， 那些走过的， 都不复拥有。 失去的， 回来； 丢掉的，
